Unnamed: 0,word,polysemy,freq2010,freq2020,type,semantic_change,most_common,Noun_binary,Verb_binary,Adj_binary,Adverb_binary,normalized_semantic_change
76,bupkis,1.0,5.22,4.8796875,slang,0.7408247356353554,Noun,1,1,1,1,0.6643890860380118
77,dogg,16.0,2375.8,1062.45,slang,0.7492590751246855,Noun,1,1,0,0,0.7479964654210248
78,agenda,2.0,7712.75,16918.359375,nonslang,0.7453901781716663,Noun,1,1,0,0,0.7096451119150313
79,lawlessness,2.0,18.52,958.753125,nonslang,0.7386092318380535,Noun,1,1,1,1,0.6424273821322275
80,chug,1.0,203.25,210.5703125,nonslang,0.7309788051203429,Verb,1,1,1,0,0.5667889776965309
81,nonskid,1.0,1.5,0.7296874999999999,nonslang,0.7582043945253498,Adj,1,1,1,1,0.8366690536870892
82,sympathizer,2.0,13.43,149.08124999999995,nonslang,0.7465614320159327,Noun,1,1,0,0,0.7212554418804396
83,despoil,2.0,0.95,4.4640625,nonslang,0.742224968684293,Verb,1,1,0,0,0.6782692263732752
84,milepost,1.0,22.3,20.3796875,nonslang,0.7523356964409842,Noun,1,1,1,1,0.7784941998239453
85,vanadium,1.0,10.5,18.453125,nonslang,0.7444075563726662,Noun,1,0,1,0,0.6999046415862106
86,competencies,1.0,45.12,329.90625,nonslang,0.7419462964801089,Noun,1,0,0,0,0.6755068224259129
87,mushroom,5.0,1418.85,1254.0984374999996,nonslang,0.7376464449772204,Noun,1,1,0,0,0.6328835303059543
88,jugglers,1.0,16.15,8.4796875,nonslang,0.7358605970547905,Noun,1,0,0,0,0.6151808915919383
89,doubleheader,1.0,128.62,120.125,nonslang,0.7475454984714438,Noun,1,1,1,0,0.7310102327076401
90,decomposition,5.0,19.4,59.715625,nonslang,0.7376917931516734,Noun,1,0,0,0,0.6333330547803505
91,rump,3.0,185.0,299.31249999999994,nonslang,0.7402643909296641,Noun,1,1,1,0,0.6588345369884668
92,heaviest,28.0,152.03,223.4921875,nonslang,0.7414622548837466,Adj,1,1,1,0,0.6707086459432828
93,echo,9.0,3661.57,6124.2265625,nonslang,0.7385665116670121,Noun,1,1,1,0,0.6420039083614504
94,scallywag,3.0,23.3,12.2578125,nonslang,0.7310876094794696,Noun,1,1,1,0,0.5678675265673161
95,peppy,1.0,209.5,133.6171875,nonslang,0.7389454385615264,Adj,1,1,1,0,0.6457601105712568
96,shield,5.0,1223.58,4031.1234375,nonslang,0.7448870611945574,Noun,1,1,1,0,0.7046578462219211
97,banzai,1.0,219.95,198.4765625,nonslang,0.7428219457162002,Noun,1,1,1,0,0.6841869019959783
98,pantsuit,1.0,17.25,51.43749999999999,nonslang,0.7413736683021953,Noun,1,1,0,0,0.6698305105609718
99,legalist,1.0,2.98,2.315625,nonslang,0.7223434730411356,Noun,1,1,1,0,0.4811892118633043
100,moldovan,1.0,21.6,20.3234375,nonslang,0.7488661470582353,Noun,1,1,1,0,0.7441014732922998
101,terrifies,1.0,64.38,248.7765625,nonslang,0.7209804452236029,Noun,1,1,0,0,0.46767787715900233
102,postural,1.0,16.6,52.2703125,nonslang,0.7420275526261257,Adj,1,0,1,0,0.6763122931371435
103,butane,1.0,41.8,15.371875,nonslang,0.7446208234486431,Noun,1,0,1,0,0.7020187017747604
104,grisly,1.0,54.92,77.56249999999999,nonslang,0.7387119494749319,Adverb,1,0,1,1,0.6434455949332043
105,scheme,7.0,2074.88,7530.0,nonslang,0.7484617826720475,Noun,1,1,1,0,0.7400931159469799
106,jute,2.0,57.02,87.6953125,nonslang,0.7444218741906996,Noun,1,1,1,0,0.7000465703342494
107,anticlockwise,2.0,41.55,11.0984375,nonslang,0.7746812732468532,Noun,1,1,1,1,1.0
108,underrated,1.0,986.08,5905.859375,nonslang,0.7372237239771664,Adj,0,1,1,0,0.6286932086963731
109,trampolining,1.0,16.52,6.687499999999999,nonslang,0.7234801216174306,Verb,1,1,0,0,0.49245650894847404
110,awesome,1.0,91723.07,28310.2609375,nonslang,0.7270758408070195,Adj,1,1,1,1,0.5280999234469126
111,humblest,4.0,25.45,94.309375,nonslang,0.7255129947305705,Adj,1,0,1,0,0.5126078431250068
112,galavant,1.0,3.88,12.937499999999998,nonslang,0.7364457476587893,Noun,1,1,1,0,0.6209813349587988
113,sailor,3.0,1075.3,2482.59375,nonslang,0.7344256753135308,Noun,1,1,1,0,0.6009568914128842
114,fiddled,7.0,19.7,266.07031249999994,nonslang,0.7480781099461097,Verb,0,1,1,0,0.7362898695639072
115,bright,11.0,8268.9,16892.453125,nonslang,0.7364151299960866,Adj,1,1,1,0,0.6206778301562417
116,epilator,1.0,22.55,8.893749999999997,nonslang,0.7322513317409336,Noun,1,1,1,0,0.5794031979419108
117,sabertooth,1.0,23.38,39.8875,nonslang,0.7342245350312622,Noun,1,1,1,1,0.5989630409270091
118,calorie,2.0,894.38,312.2921875,nonslang,0.7370436379289609,Noun,1,1,1,0,0.6269080632711796
119,conventionally,1.0,13.5,72.9875,nonslang,0.7302594240853619,Adverb,0,0,0,1,0.5596579435250131
120,telogen,1.0,1.35,1.25,nonslang,0.7376919759287833,Noun,1,1,1,0,0.6333348666015594
121,deathblow,1.0,4.97,11.890624999999998,nonslang,0.7416046770227365,Noun,1,1,1,0,0.6721204389855393
122,repentant,1.0,24.45,200.95,nonslang,0.7290468289992977,Adj,1,1,1,0,0.5476378087501679
123,superabundance,1.0,0.96,1.9296875,nonslang,0.7374422080735313,Noun,1,1,0,0,0.6308589838299266
124,admitting,8.0,481.85,2145.1249999999995,nonslang,0.7354560264268295,Verb,1,1,0,0,0.6111704898264004
125,scummiest,2.0,1.95,11.929687499999998,nonslang,0.7276223775753239,Adj,1,0,1,0,0.5335175980605795
126,strap,8.0,1754.5,1326.6874999999998,nonslang,0.7451044761757736,Noun,1,1,1,0,0.7068130234994173
127,shylock,2.0,12.0,58.621875,nonslang,0.7365066386858576,Noun,1,1,1,0,0.6215849316254448
128,glutton,2.0,100.22,58.4453125,nonslang,0.7248134092345748,Noun,1,1,1,0,0.5056730369023549
129,squall,4.0,104.83,131.3453125,nonslang,0.7325215976044294,Noun,1,1,1,1,0.5820822720546085
