,words
1812,prog
1813,prolly
1814,prom
1815,promposal
1816,proper
1817,props
1818,psyched
1819,psycho
1820,psycho-bitch
1821,psychonaut
1822,PUA
1823,pube
1824,puddle
1825,puff
1826,puffy
1827,puh-leeze
1828,puke
1829,puker
1830,pump
1831,pumped
1832,punanni
1833,punk
1834,punter
1835,pupper
1836,purp
1837,purr
1838,pussy
1839,pussy-whipped
1840,'puter
1841,PW
1842,pwd
1843,pwn
1844,PYT
1845,QT
1846,qual
1847,queaf
1848,queef
1849,queenpin
1850,queer
1851,queif
1852,quick
1853,quid
1854,quif
1855,quiff
1856,rachet
1857,rad
1858,radical
1859,rag
1860,rage
1861,rageahol
1862,rager
1863,rail
1864,rain
1865,ralph
1866,rapey
1867,rassle
1868,rat
1869,ratard
1870,rat-arsed
1871,rat-assed
1872,raunchy
1873,raw
1874,RCH
1875,real
1876,ream
1877,rear
1878,reco
1879,redic
1880,redneck
1881,redonkulous
1882,refry
1883,reg
1884,reggs
1885,re-gift
1886,rehab
1887,reich-wing
1888,reject
1889,re-jigger
1890,relly
1891,rental
1892,'rents
1893,rep
1894,Republicunt
1895,retard
1896,retarded
1897,revert
1898,rez
1899,rhino
1900,'rhoids
1901,rice-rocket
1902,ricockulous
1903,ride
1904,ridonkulous
1905,riff-raff
1906,right
1907,right-winger
1908,rinky-dink
1909,RINO
1910,ripped
1911,ritzy
1912,RL
1913,RN
1914,roadie
1915,roadkill
1916,robocall
1917,robotrip
1918,rocking
1919,rocks
1920,rock-solid
1921,rod
1922,ROFL
1923,ROFLMFAO
1924,roids
1925,roll
1926,rollicking
1927,roly-poly
1928,romcom
1929,roofie
1930,roofy
1931,rook
1932,roomie
1933,root
1934,rope
1935,ro-sham-bo
1936,rotation
1937,ROTFLMFAO
1938,royally
1939,RSN
1940,RT
1941,r-tard
1942,rubbish
1943,ruh-roh
1944,rule
1945,run
1946,run-down
1947,rush
1948,RWNJ
1949,/s
1950,sad
1951,sambo
1952,samolean
1953,sarnies
1954,sassy
1955,sauced
1956,sausage
1957,sawbuck
1958,sb
1959,scam
1960,scary
1961,schizophrenic
1962,schlong
1963,schlort
1964,schlub
1965,schlubby
1966,schmuck
1967,schmutz
1968,schtupp
1969,schwantz
