word,polysemy,freq2010,freq2020,type,semantic_change
underpainting,1.0,2.9,5.934374999999998,nonslang,0.7210470706043306
morphology,4.0,18.88,41.09375,nonslang,0.7452372178694678
avoiders,1.0,4.28,31.0890625,nonslang,0.7391933594334996
outlawing,1.0,16.55,59.45,nonslang,0.7355751856750099
protocol,3.0,703.65,2342.0546875,nonslang,0.7435159830629748
ignites,4.0,128.4,79.8328125,nonslang,0.7433581441890441
didot,1.0,36.38,5.9796875,nonslang,0.7345295251047381
sculptured,4.0,14.55,15.390625,nonslang,0.7401030286355093
committeeman,1.0,4.65,3.5546875,nonslang,0.7466526242628586
snug,5.0,239.55,137.54687499999997,nonslang,0.7395951347127745
mistreatment,1.0,28.2,715.71875,nonslang,0.7430666523158251
greeting,5.0,1241.17,2576.4328125,nonslang,0.7448227215002048
groans,2.0,188.95,90.7109375,nonslang,0.7445569643145307
unlike,2.0,2505.93,5838.6375,nonslang,0.7397198849812043
unmatched,2.0,99.55,1564.5234375,nonslang,0.7440809193151896
steeple,1.0,37.85,33.4421875,nonslang,0.7344794684376671
estimated,2.0,1845.12,2661.25,nonslang,0.7481290378560117
contenders,1.0,370.8,510.53125,nonslang,0.7444193265524806
allotted,4.0,37.38,184.546875,nonslang,0.7446526198108625
enhancements,1.0,216.9,106.5625,nonslang,0.7465371264260412
copyediting,1.0,17.23,9.003124999999997,nonslang,0.7263979156173561
adulterous,2.0,31.7,59.996875,nonslang,0.7428585250217421
upgrade,11.0,5741.82,3541.2656249999995,nonslang,0.7376268912462959
intimidator,1.0,28.75,14.940625,nonslang,0.7357844831830429
unicorn,3.0,1434.03,1463.59375,nonslang,0.7344288645369851
haircut,3.0,4488.2,2652.1249999999995,nonslang,0.7152936630916207
inclusive,4.0,2083.45,6913.4890625,nonslang,0.7516323567736438
they,3.0,399599.10,919031.49,nonslang,0.7261245278728876
performative,3.0,5.15,1128.14,nonslang,0.7385203418114406
lowkey,3.0,2533.12,5755.03,slang,0.7271502406701991
chillax,2.0,315.57,87.13,slang,0.7320791722152504
bling,8.0,1361.55,500.0,slang,0.7452511085572637
