,words
678,broke as a joke
679,broken
680,bromance
681,broner
682,brony
683,Brotox
684,brownie point
685,brown-noser
686,BRT
687,bruddah
688,bruh
689,brutes
690,bruv
691,BS
692,b school
693,BT dub
694,BT dubs
695,BTW
696,bubble butt
697,bubblegum pop
698,bucket list
699,buck wild
700,budgie
701,budgie smugglers
702,budissy
703,buff
704,buffoon
705,Buffy
706,bug
707,bug-for-bug compatible
708,bugfucker
709,bugged
710,bugger about
711,buggering
712,bug out
713,built
714,bukkake
715,bullet
716,bull honky
717,bullshit
718,bull shit
719,bull stuff
720,bully
721,bum
722,bum around
723,bum bandit
724,Bumblefuck
725,bumder
726,bumfuck
727,bumlick
728,bummage
729,bummer days
730,bump fuzzies
731,bumping
732,bump in the road
733,bumpkiss
734,bun bun
735,bunch
736,bun fight
737,bunk-ass
738,buns
739,bupkis
740,"'burbs, the"
741,burned out
742,burnie
743,burninate
744,burn-out
745,burn through
746,burst (one's) bubble
747,bushed
748,bush league
749,bust a cap
750,bust a dook
751,bust a groove
752,bust a grub
753,bust a grumpie
754,bust a grumpy
755,bust a nut
756,bust a sag
757,bust ass
758,bust balls
759,busted
760,bust for a wee
761,bust (one's) back
762,bust (one's) chops
763,bust (one's) hump
764,bust (one's) nut
765,bust out
766,bust up
767,busy work
768,butch
769,butt cheek
770,butt crack
771,butt-dial
772,butter
773,butter face
774,butter up
775,"Butt-Fuck, Egypt"
776,butt hole
777,butt hugger
778,butthurt
779,butt-hurt
780,butt-load
781,butt naked
782,butt play
783,butt ugly
784,buy-in
785,buzz
786,buzzed
787,BYOB
788,by (one's) lonesome
789,BYOW
790,by the book
791,by the skin of (one's) teeth
792,BYU
793,cab
794,cabbaged
795,caboose
796,Cab Sav
797,caca
798,CAE
799,caf
800,cake hole
801,cake walk
802,calcs
803,calendar
804,California stop
805,call
806,call Huey on the big white telephone
807,call it a night
808,call on
809,call (one's) name
810,call out
811,cam
812,cancer stick
813,candle
814,candy
815,candy-ass
816,candy-assed
817,candy-coat
818,candy flip
819,candy raver
820,can it
821,can of worms
822,can suck chrome off a tail pipe
823,can suck the chrome off a tail pipe
824,can suck the chrome off a trailer hitch
825,can't be arsed
826,can't even
827,can't understand normal thinking
828,cap
